date,DBLCDBCE,DJUSRET,GOLDLNPM,IBOXHY,LBUSTRUU,LUACTRUU,LUTLTRUU,NDDUEAFE,NDUEEGF,RU20INTR Index,SP500,SPTR,SPTRMDCP
2021/5/17,391.0732,1602.31,1853.7,323.2336,2326.16,3432.81,4217.37,7471.067,637.234,11451.78,4163.29,8647.569,4246.01
2021/5/18,390.6047,1605.14,1866.75,323.1906,2325.59,3429.7,4209.38,7551.051,647.822,11368.55,4127.83,8574.978,4202.26
2021/5/19,381.7734,1600.55,1888.45,322.3955,2321.84,3420.81,4197.88,7454.07,645.081,11280.17,4115.68,8550.945,4174.74
2021/5/20,378.1309,1620.27,1878.3,322.6982,2327.73,3435.67,4231.29,7521.279,645.981,11353.5,4159.12,8641.98,4191.64
2021/5/21,380.4469,1617.87,1875.9,322.9397,2329.13,3440.31,4243.01,7544.697,646.361,11392.32,4155.86,8635.546,4201.59
2021/5/24,386.5185,1635.57,1880.15,323.2955,2332.52,3447.13,4257.76,7577.923,644.855,11454.45,4197.05,8721.999,4221.05
2021/5/25,385.4999,1638,1887,323.5182,2338.68,3460.93,4297.54,7603.283,654.056,11343.55,4188.13,8703.59,4191.04
2021/5/26,386.631,1642.25,1899.75,323.6365,2337.08,3458.11,4290.79,7594.601,657.218,11567.63,4195.99,8720.039,4231.17
2021/5/27,391.9281,1636.49,1891.45,323.8435,2334.29,3452.56,4273,7583.478,658.573,11691.11,4200.88,8730.968,4258.76
2021/5/28,389.6585,1648.28,1899.95,324.0712,2337.22,3459.13,4289.06,7636.922,661.791,11671.26,4204.11,8738.772,4261.68
2021/6/1,396.8954,1675.33,1899.35,324.4331,2333.93,3452.49,4264.43,7662.543,676.694,11804.06,4202.04,8734.744,4288.67
2021/6/2,399.8357,1694.93,1902.75,324.7867,2335.58,3456.98,4272.72,7678.029,675.574,11820.11,4208.12,8748.297,4263.11
2021/6/3,396.7913,1690.12,1866.55,324.6592,2331.49,3448.03,4258.27,7646.104,673.24,11725.36,4192.85,8717.973,4242.57
2021/6/4,402.0266,1691.47,1890.6,324.9868,2340.14,3466.98,4312.79,7692.46,672.344,11762.44,4229.89,8795.076,4264.05
2021/6/7,401.6778,1707.11,1888.4,325.1111,2338.75,3464.03,4301.99,7721.914,671.89,11931.1,4226.52,8788.279,4260.17
2021/6/8,405.0043,1718.16,1893.15,325.4434,2342.82,3473.28,4328.9,7723.801,670.425,12057.65,4227.26,8789.996,4298.1
2021/6/9,404.4187,1721.43,1894.6,325.9268,2348.03,3485.32,4364.62,7715.996,668.294,11972.88,4219.55,8774.313,4270.46
2021/6/10,405.267,1736.31,1888.65,326.0746,2352.59,3497.85,4390.9,7717.084,671.276,11892.66,4239.18,8815.562,4268.34
2021/6/11,403.8884,1728.14,1881.05,326.296,2351.15,3497.18,4382.76,7718.678,672.89,12018.33,4247.44,8832.944,4301.95
2021/6/14,401.3365,1735.3,1865.6,326.3928,2346.07,3487.77,4351.55,7738.858,673.495,11970.44,4255.15,8851.166,4262.5
